"year","cell","n_obs"
"2016","3671",52
"2016","3672",153
"2016","3673",65
"2016","3699",8
"2016","3700",170
"2016","3727",103
"2016","452",3
"2016","454",30
"2016","480",22
"2016","481",2
"2016","486",1
"2016","507",160
"2016","508",13
"2016","509",5
"2016","512",4
"2016","513",6
"2016","514",56
"2016","534",288
"2016","535",170
"2016","536",25
"2016","537",26
"2016","538",4
"2016","540",76
"2016","541",225
"2016","562",340
"2016","563",56
"2016","564",328
"2016","565",95
"2016","566",1115
"2016","567",1946
"2016","568",1207
"2016","589",35
"2016","590",528
"2016","591",375
"2016","592",158
"2016","593",1940
"2016","594",1378
"2016","595",2531
"2016","616",41
"2016","617",295
"2016","618",771
"2016","619",1253
"2016","620",1560
"2016","621",221
"2016","622",2042
"2016","644",134
"2016","645",154
"2016","646",431
"2016","647",554
"2016","648",1151
"2016","649",1792
"2016","671",151
"2016","672",138
"2016","673",81
"2016","674",320
"2016","675",224
"2016","676",1582
"2016","698",114
"2016","699",10
"2016","700",1374
"2016","701",407
"2016","702",1905
"2016","703",609
"2016","725",65
"2016","726",131
"2016","727",156
"2016","728",200
"2016","729",41
"2016","730",150
"2016","732",113
"2016","733",99
"2016","734",1
"2016","736",125
"2016","737",1
"2016","738",64
"2016","739",969
"2016","740",37
"2016","741",2
"2016","766",1
"2016","767",59
"2016","769",5
"2016","785",4
"2016","815",1
"2017","239",4
"2017","295",4
"2017","3669",1
"2017","3671",50
"2017","3672",194
"2017","3673",159
"2017","3698",1
"2017","370",1
"2017","3700",462
"2017","3727",243
"2017","431",1
"2017","454",73
"2017","480",5
"2017","486",1
"2017","507",295
"2017","508",93
"2017","509",24
"2017","510",28
"2017","512",2
"2017","513",95
"2017","514",41
"2017","534",786
"2017","535",424
"2017","536",60
"2017","537",211
"2017","538",38
"2017","540",198
"2017","541",299
"2017","562",367
"2017","563",201
"2017","564",419
"2017","565",169
"2017","566",995
"2017","567",2233
"2017","568",1556
"2017","589",161
"2017","590",1004
"2017","591",483
"2017","592",463
"2017","593",3891
"2017","594",2083
"2017","595",3618
"2017","616",172
"2017","617",427
"2017","618",1220
"2017","619",997
"2017","620",3956
"2017","621",1833
"2017","622",1994
"2017","644",293
"2017","645",148
"2017","646",867
"2017","647",1435
"2017","648",2004
"2017","649",3839
"2017","671",296
"2017","672",133
"2017","673",332
"2017","674",192
"2017","675",644
"2017","676",3506
"2017","698",311
"2017","699",21
"2017","700",348
"2017","701",604
"2017","702",1334
"2017","703",1125
"2017","725",72
"2017","726",233
"2017","727",99
"2017","728",658
"2017","729",117
"2017","730",226
"2017","732",250
"2017","733",128
"2017","736",150
"2017","738",223
"2017","739",1216
"2017","740",107
"2017","741",5
"2017","767",113
"2017","769",16
"2017","785",28
"2017","813",1
"2017","821",1
"2017","902",1
"2018","236",1
"2018","3670",1
"2018","3671",142
"2018","3672",762
"2018","3673",431
"2018","3697",1
"2018","3699",11
"2018","3700",2812
"2018","3727",808
"2018","426",1
"2018","430",1
"2018","452",4
"2018","457",2
"2018","460",1
"2018","480",75
"2018","481",7
"2018","485",3
"2018","486",6
"2018","507",508
"2018","508",315
"2018","509",107
"2018","510",19
"2018","511",3
"2018","512",17
"2018","513",378
"2018","514",134
"2018","534",1746
"2018","535",468
"2018","536",217
"2018","537",277
"2018","538",43
"2018","540",281
"2018","541",363
"2018","562",1003
"2018","563",484
"2018","564",855
"2018","565",1221
"2018","566",1835
"2018","567",2576
"2018","568",773
"2018","589",349
"2018","590",1936
"2018","591",2309
"2018","592",1832
"2018","593",11596
"2018","594",3512
"2018","595",5302
"2018","616",417
"2018","617",601
"2018","618",3205
"2018","619",3512
"2018","620",5461
"2018","621",2517
"2018","622",4806
"2018","644",529
"2018","645",680
"2018","646",3025
"2018","647",3454
"2018","648",4395
"2018","649",6342
"2018","671",616
"2018","672",454
"2018","673",776
"2018","674",542
"2018","675",879
"2018","676",5087
"2018","698",1062
"2018","699",232
"2018","700",725
"2018","701",1743
"2018","702",3387
"2018","703",2165
"2018","725",312
"2018","726",1099
"2018","727",333
"2018","728",1189
"2018","729",455
"2018","730",870
"2018","732",281
"2018","733",330
"2018","734",6
"2018","736",777
"2018","737",1
"2018","738",225
"2018","739",1271
"2018","740",208
"2018","741",3
"2018","742",1
"2018","761",1
"2018","767",100
"2018","769",59
"2018","785",60
"2018","812",4
"2018","813",1
"2018","845",1
"2018","848",1
"2019","126",2
"2019","127",1
"2019","152",1
"2019","153",3
"2019","181",2
"2019","208",3
"2019","235",1
"2019","236",2
"2019","263",3
"2019","291",2
"2019","318",2
"2019","346",3
"2019","3671",54
"2019","3672",365
"2019","3673",185
"2019","3698",1
"2019","3699",1
"2019","370",2
"2019","3700",1065
"2019","371",1
"2019","3727",327
"2019","373",7
"2019","375",1
"2019","401",4
"2019","402",2
"2019","403",1
"2019","428",6
"2019","43",3
"2019","452",1
"2019","455",3
"2019","456",4
"2019","480",13
"2019","483",7
"2019","484",2
"2019","507",172
"2019","508",179
"2019","509",8
"2019","510",8
"2019","511",7
"2019","512",10
"2019","513",25
"2019","514",6
"2019","534",550
"2019","535",110
"2019","536",34
"2019","537",20
"2019","538",381
"2019","539",2
"2019","540",120
"2019","541",144
"2019","562",424
"2019","563",144
"2019","564",198
"2019","565",333
"2019","566",768
"2019","567",1114
"2019","568",331
"2019","589",195
"2019","590",593
"2019","591",692
"2019","592",753
"2019","593",3230
"2019","594",951
"2019","595",2000
"2019","616",217
"2019","617",326
"2019","618",1996
"2019","619",1373
"2019","620",2263
"2019","621",806
"2019","622",2895
"2019","644",268
"2019","645",459
"2019","646",1213
"2019","647",1712
"2019","648",1352
"2019","649",3233
"2019","671",304
"2019","672",284
"2019","673",297
"2019","674",508
"2019","675",304
"2019","676",3722
"2019","698",321
"2019","699",86
"2019","700",186
"2019","701",831
"2019","702",1016
"2019","703",1208
"2019","725",110
"2019","726",947
"2019","727",220
"2019","728",572
"2019","729",401
"2019","730",426
"2019","731",2
"2019","732",120
"2019","733",79
"2019","734",10
"2019","736",272
"2019","738",141
"2019","739",403
"2019","740",58
"2019","741",2
"2019","758",6
"2019","767",40
"2019","769",26
"2019","785",70
"2019","812",8
"2019","98",3
